# Number of bins used: 1
# Number of cases packed: 38
# Objective value: 83.711

  case_id    bin-location    orientation    x    y    z    x'    y'    z'
---------  --------------  -------------  ---  ---  ---  ----  ----  ----
        0               1              3    0    0    0     3     5     8
        1               1              3    0   16    0     3     5     8
        2               1              1    4    0    8     5     3     8
        3               1              1    0    5    0     5     3     8
        4               1              6   11   23    0     8     3     5
        5               1              1    9   13    0     5     3     8
        6               1              1   25   27    0     5     3     8
        7               1              1   20   23    0     5     3     8
        8               1              1   20    0    0     5     3     8
        9               1              1   14   12    0     5     3     8
       10               1              1    3    0    0     5     3     8
       11               1              1   25   13    0     5     3     8
       12               1              6   14   16    0    11     5     8
       13               1              1    9   21    8     8     5    11
       14               1              4    9    0    0     5    11     8
       15               1              4   25   17   12     5    11     8
       16               1              3   20   22    9     5     8    11
       17               1              3   25    0    8     5     8    11
       18               1              4   25    0    0     5    11     8
       19               1              1   17   17    8     8     5    11
       20               1              3   19    0    8     5     8    11
       21               1              4    4   15    8     5    11     8
       22               1              6    0   21    0    11     5     8
       23               1              1    9   16    8     8     5    11
       24               1              4   19    3    0     5    11     8
       25               1              6    3   16    0    11     5     8
       26               1              4   13   26    0    12     4     9
       27               1              5   26    8    8     4     9    12
       28               1              6    9    0    9     4    12     9
       29               1              6    0    9    8     4    12     9
       30               1              5   25   17    0     4     9    12
       31               1              2   17    8    9     9     4    12
       32               1              5    0   21    9     4     9    12
       33               1              6   15    0    0     4    12     9
       34               1              4    0   26    0    12     4     9
       35               1              6    5    3    0     4    12     9
       36               1              5    0    0    8     4     9    12
       37               1              6    4    3    9     4    12     9
