# Number of bins used: 1
# Number of cases packed: 47
# Objective value: 115.638

  case_id    bin-location    orientation    x    y    z    x'    y'    z'
---------  --------------  -------------  ---  ---  ---  ----  ----  ----
        0               1              2   25    8    0     5     8     3
        0               1              2    5    0    0     5     8     3
        0               1              5    0   13    0     8     5     3
        0               1              2   25    0    0     5     8     3
        0               1              2   25    0    3     5     8     3
        0               1              2   12    8    0     5     8     3
        0               1              5    4   25    9     8     5     3
        0               1              5    0    8    0     8     5     3
        0               1              2   10    0    0     5     8     3
        0               1              2   25   22    0     5     8     3
        0               1              2   25   10    3     5     8     3
        0               1              2    0    0    0     5     8     3
        1               1              3   15   18   13    15    12    12
        1               1              3    0   18   35    15    12    12
        1               1              3    0   18   18    15    12    12
        1               1              5    0    0    7    12    12    15
        1               1              1    0    0   26    12    15    12
        1               1              1   17    0   25    12    15    12
        1               1              4   15   18   25    15    12    12
        1               1              6   18   15   37    12    15    12
        1               1              6   18    0   37    12    15    12
        2               1              4   16   19    4     5    11     8
        2               1              5    4   22   12    11     8     5
        2               1              2   21   19    8     8    11     5
        2               1              5   19    0   11    11     8     5
        2               1              4   12    0   22     5    11     8
        2               1              5   17    0   20    11     8     5
        2               1              6    0   12   12    11     5     8
        2               1              4   12    0   14     5    11     8
        2               1              3   12    0    3     5     8    11
        2               1              1   17    5    0     8     5    11
        2               1              1   17    0    0     8     5    11
        2               1              5    4   22   30    11     8     5
        2               1              5    0   18    0    11     8     5
        2               1              3   12   10    3     5     8    11
        3               1              6   12   18    0     4    12     9
        3               1              3    0    0   22    12     9     4
        3               1              4    0   12    3    12     4     9
        3               1              4   18   10    6    12     4     9
        3               1              1   16   18    0     9    12     4
        4               1              3    0    0    3    12     9     4
        4               1              4    0   26    0    12     4     9
        4               1              4   18   14    6    12     4     9
        4               1              1   21   18    4     9    12     4
        4               1              6    0   18    9     4    12     9
        4               1              1   21    0   16     9    12     4
        4               1              3    0   17    5    12     9     4
