# Number of bins used: 1
# Number of cases packed: 47
# Objective value: 136.117

  case-id    bin-location    orientation    x    y    z    x'    y'    z'
---------  --------------  -------------  ---  ---  ---  ----  ----  ----
        0               1              1   22    0    0     3     5     8
        1               1              3   25    0    0     5     3     8
        2               1              5   22   27    0     8     3     5
        3               1              3    0   18    0     5     3     8
        4               1              5    0    0    8     8     3     5
        5               1              3    5    0    0     5     3     8
        6               1              6   10    0    0     8     5     3
        7               1              3   25    3    0     5     3     8
        8               1              1    0    0   21     3     5     8
        9               1              1    0    5   21     3     5     8
       10               1              1    0   13    0     3     5     8
       11               1              3    0    0    0     5     3     8
       12               1              4   18    0   37    12    12    15
       13               1              2    0   12   28    15    12    12
       14               1              1    0   18   40    15    12    12
       15               1              2   15   13   29    15    12    12
       16               1              6    3    0   21    12    12    15
       17               1              3   18   15   17    12    15    12
       18               1              1    0   18   16    15    12    12
       19               1              2   15    0   25    15    12    12
       20               1              1    0    0   36    15    12    12
       21               1              3    3   11    0     8     5    11
       22               1              1   25   17    0     5     8    11
       23               1              5   11   12    0    11     5     8
       24               1              1   16   17    0     5     8    11
       25               1              2    4    3   12     5    11     8
       26               1              5    9   25    0    11     5     8
       27               1              3   22   25   29     8     5    11
       28               1              3   22   12    0     8     5    11
       29               1              3    0   21    0     8     5    11
       30               1              3   10    0    3     8     5    11
       31               1              3    9   12   11     8     5    11
       32               1              3   10    5    0     8     5    11
       33               1              3   22    6    0     8     5    11
       34               1              4   22    0   20     8    11     5
       35               1              4    0    3    0     9     4    12
       36               1              4    5   17    0     9     4    12
       37               1              4   21   26    5     9     4    12
       38               1              5   26    0   11     4    12     9
       39               1              5   18    0    9     4    12     9
       40               1              6   21   17    0     4     9    12
       41               1              4    0   26    0     9     4    12
       42               1              1    0   21   12    12     9     4
       43               1              5   18    0    0     4    12     9
       44               1              4    0    7    0     9     4    12
       45               1              2   10   26   29    12     4     9
       46               1              5    0    3   12     4    12     9
